"FERPA","Student ID","Last Name","First Name","Acad Plan","Acad Plan Descr","Term","Term Description","Career","Class Nbr","Subject","Catalog","Section","Class Description","Component","Class Type","Designation","Academic Level","Term Units","Class Units","Reason","Add Dt","Grade","Gender","Ethnic Grp","Facil ID","Mtg Start","Mtg End","Pat","Instructor ID","Instructor Name","Advisor ID","Advisor Name","Auto Enrol","Auto Enr 2","Comb Sect"
"N","000037798","Orion","Buckridge","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","3295","BIOL","110","019","Biological Inquiry","LEC","E","GEB2","Freshman","12.000","4.00","Enrolled","2020-06-12","B","Male","BLACKPRF","IVES0101","11:00:00","11:50:00","MWF","000004693","Bright, Julie A","001299888","Kooshesh, Ali A","020","",""
"N","000037798","Orion","Buckridge","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","3296","BIOL","110","020","Biological Inquiry","LAB","N","GEB2","Freshman","12.000","0.00","Enrolled","2020-06-12","","Male","BLACKPRF","DARW0003","18:00:00","20:50:00","M","000505861","Karres, Nicole M","001299888","Kooshesh, Ali A","","",""
"N","000037798","Orion","Buckridge","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","4487","CS","115","009","Programming I","DIS","E","GEB3","Freshman","12.000","4.00","Enrolled","2020-06-12","B-","Male","BLACKPRF","DARW0038","10:45:00","12:00:00","TTH","001299888","Kooshesh, Ali A","001299888","Kooshesh, Ali A","010","",""
"N","000037798","Orion","Buckridge","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","4488","CS","115","010","Programming I","LAB","N","GEB3","Freshman","12.000","0.00","Enrolled","2020-06-12","","Male","BLACKPRF","DARW0028","17:00:00","19:50:00","W","001729837","Melcon, Noah K","001299888","Kooshesh, Ali A","","",""
"N","000037798","Orion","Buckridge","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","3927","ENGL","101","022","Expos Writing&Analytic Reading","DIS","E","GEA2","Freshman","12.000","4.00","Enrolled","2020-06-12","B-","Male","BLACKPRF","SALZ1051","13:00:00","16:40:00","F","000408088","Gerhard, Sakina S","001299888","Kooshesh, Ali A","","",""
"N","000058043","Ulices","Durgan","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2932","BIOL","115","004","Introduction to Biology","LEC","E","GEB2","Freshman","14.000","3.00","Enrolled","2020-07-29","B+","Male","WHITE","CHALK HILL","08:00:00","10:50:00","F","003915202","Keller, Mary F","001299888","Kooshesh, Ali A","","",""
"N","000058043","Ulices","Durgan","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2513","CS","215","001","Programming II","DIS","E","","Freshman","14.000","4.00","Enrolled","2020-05-21","C+","Male","WHITE","DARW0029","14:45:00","16:00:00","MW","000002366","Watts, Marcia R","001299888","Kooshesh, Ali A","002","",""
"N","000058043","Ulices","Durgan","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2514","CS","215","002","Programming II","LAB","N","","Freshman","14.000","0.00","Enrolled","2020-05-21","","Male","WHITE","DARW0028","09:00:00","11:50:00","T","000002366","Watts, Marcia R","001299888","Kooshesh, Ali A","","",""
"N","000058043","Ulices","Durgan","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","1802","PHIL","101","006","Critical Thinking","DIS","E","GEA3","Freshman","14.000","4.00","Enrolled","2020-09-03","B+","Male","WHITE","NICH0304","13:00:00","14:50:00","TTH","000019942","Wautischer, Helmut","001299888","Kooshesh, Ali A","","",""
"N","000058043","Ulices","Durgan","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","1002","POLS","200","005","American Political System","DIS","E","GED4","Freshman","14.000","3.00","Enrolled from Wait List","2020-07-29","B+","Male","WHITE","STEV3008","12:00:00","12:50:00","MWF","002492365","Gouveia, Keith A","001299888","Kooshesh, Ali A","","",""
"N","000074886","Melany","Boehm","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","4314","CALS","374","001","Latino Literature","DIS","E","GEC2","Junior","16.000","4.00","Enrolled from Wait List","2020-04-25","F","Female","HISPA","COMMONS","12:00:00","13:50:00","MW","003279502","Wilkins, Nora B","001299888","Kooshesh, Ali A","","",""
"N","000074886","Melany","Boehm","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","3131","ES","101A","003","Communication in Digital Age","LEC","E","GEB3","Junior","16.000","3.00","Enrolled","2020-08-17","F","Female","HISPA","DARW0102","16:00:00","17:15:00","MW","002429445","Estreich, Donald","001299888","Kooshesh, Ali A","","",""
"N","000074886","Melany","Boehm","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","3838","ES","101B","003","Communication:Digital Age Lab","LAB","E","GEB3","Junior","16.000","1.00","Enrolled","2020-08-17","WU","Female","HISPA","SALZ2003","17:30:00","20:20:00","W","001478287","Kujoory, Mohammad A","001299888","Kooshesh, Ali A","","",""
"N","000074886","Melany","Boehm","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","4071","PSY","335","001","Memoir and Autobiography","LEC","E","","Junior","16.000","4.00","Enrolled","2020-04-25","WU","Female","HISPA","STEV3042","08:00:00","11:40:00","T","000002184","Olson, Gerryann","001299888","Kooshesh, Ali A","","",""
"N","000074886","Melany","Boehm","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","1155","PSY","360","001","Peak Performance Psychology","SEM","E","","Junior","16.000","4.00","Enrolled","2020-04-25","A","Female","HISPA","STEV3042","08:00:00","11:40:00","W","001389549","Brassington, Glenn S","001299888","Kooshesh, Ali A","","",""
"N","000080081","Emely","Pacocha","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2181","ARTS","202","001","Beginning Drawing","ACT","E","","Sophomore","12.000","2.00","Enrolled","2020-04-25","B+","Male","WHITE","ARTS0136","09:00:00","13:00:00","F","001650810","Haenlein, Nathan","001299888","Kooshesh, Ali A","","",""
"N","000080081","Emely","Pacocha","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","1745","ARTS","229","001","Beginning Ceramics","ACT","E","","Sophomore","12.000","3.00","Enrolled","2020-04-25","B+","Male","WHITE","ARTS0120","16:00:00","19:00:00","MW","000028080","Roberts, Gregory T","001299888","Kooshesh, Ali A","","",""
"N","000080081","Emely","Pacocha","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","4416","CS","242","002","Discrete Structures for CS","DIS","E","","Sophomore","12.000","4.00","Enrolled","2020-05-16","F","Male","WHITE","SALZ2001","12:00:00","13:50:00","MW","003004643","Rivoire, Suzanne M","001299888","Kooshesh, Ali A","","",""
"N","000080081","Emely","Pacocha","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","3077","ES","101A","002","Communication in Digital Age","LEC","E","GEB3","Sophomore","12.000","3.00","Enrolled","2020-04-25","B+","Male","WHITE","DARW0102","14:30:00","15:45:00","TTH","004091976","Khaleel, Haider","001299888","Kooshesh, Ali A","","",""
"N","000080081","Emely","Pacocha","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","3076","ES","101B","002","Communication:Digital Age Lab","LAB","E","GEB3","Sophomore","12.000","1.00","Enrolled","2020-04-25","C+","Male","WHITE","SALZ2003","17:30:00","20:20:00","T","001370972","Marivani, Shahram","001299888","Kooshesh, Ali A","","",""
"N","000080081","Emely","Pacocha","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","1383","POLS","200","010","American Political System","DIS","E","GED4","Sophomore","12.000","3.00","Enrolled","2020-04-25","C","Male","WHITE","STEV3008","19:00:00","21:40:00","M","000026741","Bucy, Kelly A","001299888","Kooshesh, Ali A","","",""
